model_name,seed,fold_id,test_subject,feature_index,feature_name,channel_name,statistic,importance
feature_random_forest_v1,42,2,2,62,s1_az_max,s1_az,max,0.0056846486284592304
feature_random_forest_v1,42,2,2,63,s1_gx_max,s1_gx,max,0.0011126515462754952
feature_random_forest_v1,42,2,2,64,s1_gy_max,s1_gy,max,0.0028491049287649494
feature_random_forest_v1,42,2,2,65,s1_gz_max,s1_gz,max,0.0012034239932439477
feature_random_forest_v1,42,2,2,66,s2_ax_max,s2_ax,max,0.0021795290442896105
feature_random_forest_v1,42,2,2,67,s2_ay_max,s2_ay,max,0.004132996514183166
feature_random_forest_v1,42,2,2,68,s2_az_max,s2_az,max,0.00724818159256361
feature_random_forest_v1,42,2,2,69,s2_gx_max,s2_gx,max,0.0014877465378014037
feature_random_forest_v1,42,2,2,70,s2_gy_max,s2_gy,max,0.017932408643894508
feature_random_forest_v1,42,2,2,71,s2_gz_max,s2_gz,max,0.0010613113786073955
feature_random_forest_v1,42,2,2,72,s0_ax_median,s0_ax,median,0.016151844133283223
feature_random_forest_v1,42,2,2,73,s0_ay_median,s0_ay,median,0.00655604205932556
feature_random_forest_v1,42,2,2,74,s0_az_median,s0_az,median,0.006051449218086552
feature_random_forest_v1,42,2,2,75,s0_gx_median,s0_gx,median,0.0006991385902606435
feature_random_forest_v1,42,2,2,76,s0_gy_median,s0_gy,median,0.0007471722315829809
feature_random_forest_v1,42,2,2,77,s0_gz_median,s0_gz,median,0.0011208369601605774
feature_random_forest_v1,42,2,2,78,s1_ax_median,s1_ax,median,0.018233106552683384
feature_random_forest_v1,42,2,2,79,s1_ay_median,s1_ay,median,0.00833294474521548
feature_random_forest_v1,42,2,2,80,s1_az_median,s1_az,median,0.005768746840081604
feature_random_forest_v1,42,2,2,81,s1_gx_median,s1_gx,median,0.013268372587749844
feature_random_forest_v1,42,2,2,82,s1_gy_median,s1_gy,median,0.0011222341089081984
feature_random_forest_v1,42,2,2,83,s1_gz_median,s1_gz,median,0.0041450018588771245
